Country Name,Year,Foreign Investment,GNI per Capita,Unemployment Rate,Labor Force participation rate,Economic Index
Belarus,2002,0.29655208384015525,4.3677541366814306e-08,0.2903815153143471,0.5053957158556578,0.07265807033104835
Hungary,2014,0.3086662013963029,4.79736929766649e-07,0.20486297689414293,0.4132992235213576,0.07255410933353812
France,2019,0.34761700660244405,1.5147514551064863e-06,0.2234013970983342,0.41203812131803186,0.07248980287991148
France,2002,0.34574820135084,8.234290585546959e-07,0.23111230521225148,0.420325364368458,0.07241784368085458
Belgium,2009,0.3704923365476747,1.6733510520368038e-06,0.20977968833960237,0.3863656836074729,0.07236726938386762
Lithuania,2005,0.29755459314337745,2.65645374542428e-07,0.22098334228909186,0.43398129965589904,0.07235518361038645
Israel,2001,0.2980136779237618,7.0743296508873e-07,0.31466953250940355,0.5272488154647162,0.07231757809992126
Georgia,2016,0.29790678078868066,1.4392107892999466e-07,0.44341751746372915,0.65499846866161,0.0721069402789837
Belgium,2018,0.25642250675252504,1.640413889694616e-06,0.15693175711982804,0.3891581242005512,0.07208834429834199
Estonia,2004,0.29735738308978793,2.627812734691943e-07,0.2726491133799033,0.48390293116183536,0.07198663325600194
Bulgaria,2007,0.30962048254780783,1.6683388751586446e-07,0.18210639441160667,0.38696020321761204,0.07193289343292562
Hungary,2004,0.30066683228531754,3.0395272639692907e-07,0.15400322407307898,0.3630352928459474,0.07187324895946863
France,2001,0.34439762212231884,8.499219934821078e-07,0.22864051585169262,0.4153350027924405,0.0717790845613782
Hungary,2002,0.2998089093653432,1.8366048132111261e-07,0.14798495432563136,0.3561893094564649,0.0716218537929417
Georgia,2007,0.2981295103491174,7.947880478223588e-08,0.354110693175712,0.5626677716324066,0.07152440646565306
Romania,2023,0.30466621738394034,5.907208463544557e-07,0.14747447608812467,0.35264020754139114,0.0715000633894705
Ukraine,2004,0.2979596904241508,3.90233771228095e-08,0.22810317033852767,0.43614318914731476,0.07140399231586106
France,2004,0.3304610625646844,1.120579544902695e-06,0.2368081676518001,0.42845046570702794,0.07137512615728647
Hungary,2003,0.3003018756882283,2.316341742977775e-07,0.15287479849543256,0.3595222224223972,0.07135978817130291
Georgia,2005,0.2967496294635522,4.868971824497332e-08,0.36835034927458354,0.5761795809537534,0.07124083362704832
Slovenia,2014,0.2972926433307546,8.40255652359944e-07,0.25706609349811926,0.4645360044679049,0.07122366665485877
Ukraine,2023,0.3009227698877018,1.7148805175986927e-07,0.22972375555664107,0.4351834412367318,0.07118429986881421
