Dopple,Hardware development & manufacturing partner,20+ years in hearables development and manufacturing for global brands
Joris Oudejans,Product,"Joris co-founded a software development company at 14 years old, and has founded and worked at various start-ups ever since. He co-founded Vlinderstorm, a software development agency employing 7 students at its peak, and co-founded and sold Strape, a peer-to-peer payment app based on Bitcoin, to OK. Before working on BASH fulltime, he was Product Lead at EarthToday. He holds a BSc in Computer Science from the Technical University of Delft with Honors and a MSc in Computer Science (Security & Reliability) from Imperial College London, finishing with top grades in both."
Joost Carpay,Sales & Operations,"Joost co-founded an event company and ran it successfully for 6 years before joining BASH. Furthermore, he worked in Operations at various event companies. He holds a BSc in Economics and Business and is a candidate for an MSc in Entrepreneurship and Innovation from the University of Amsterdam."
Shane Koppers,"Technology, Back-end & Front-end","Shane has worked with Joris for 6 years, originally at Vlinderstorm. He worked on a range of projects developing software, having the lead for Vlinderstorm’s biggest project: building a simulator for banks with features specified in PSD-II. Shane holds a BSc in Computer Science from the Technical University of Delft and is a candidate for an MSc in Artificial Intelligence from the University of Amsterdam."
Elise Mol,Data Science,"Elise has worked as a Data Scientist for various start-ups. She is an expert in analyzing and visualizing data, using either data platforms or hard-core query languages. Furthermore, she knows how to build Machine Learning models and operationalize them in Cloud Environments. She holds a BSc in Data Science from the Amsterdam University College and is a candidate for an MSc in Artificial Intelligence from the University of Amsterdam."
Max Mijnheer,"Technology, Mobile & Front-end","Max is a Senior Software Engineer that has worked on Blockchain, Web and Mobile for previous projects. Before joining BASH, he was the Lead Developer at Trive. He holds a BSc in Artificial Intelligence from the University of Amsterdam. As with Shane, Max’ experience in a wide variety of software development projects enables him to contribute to every part of the BASH platform. He currently works on iOS and front-end."
Eva Kril,Marketing,Eva is a digital marketeer that previously worked as Social Media Marketeer at A.S. Watson. She is an expert in creating and executing digital marketing strategies. She holds a Bachelor’s in Communication Management from the HU University of Applied Sciences Utrecht.
Ferhat Topuz,"co-founder, business development & PR"
Jingwei Ren,"co-founder, UX & product development"
Arvin Esterabadi,"co-founder, strategy & operation"
Martijn Lindeman,CEO,"Martijn is a system thinker with a background in culture, media, technology and the travel industry. Martijn has 10 years of experience in launching online platforms. He launched and managed BestHotelOffers, HotelKing and HotelOK in the travel industry and was an investor and co-founder of Ad-Up ('Reversed' ad platform) and ButlerBuddy (Uber-for-everything services platform). Martijn has generated €250 million in hotel sales in the travel industry with his platforms. Martijn has a personal interest in science, international relations and the makeable future. His background in media science and work experience in both traditional and digital media provided him with in-depth knowledge of the workings and effects of all media forms. Martijn is a contrarian thinker and blue sea explorer. Because of his interest in science and technology, he spends most of his time thinking out futures and anticipating possible scenarios. Because of this he is a full-time futurist, although he hopes to be able to live more in the 'now' with the recent birth of his baby daughter."
Ivo Jansch,CTO,"Ivo is an entrepreneur with a rare combination of technical, communication and management skills. After a career as CTO at an internet agency that he helped grow from 5 to 120 people with offices in 3 countries, he founded Egeniq, an app agency focused on technologically advanced app projects. Ivo is pragmatic and not afraid to challenge the status quo of an organization, helping them to grow and excel by challenging their beliefs. Ivo's specialty is software and system architecture. He likes to share his knowledge in this field by speaking regularly at conferences and by occasionally writing books. His book 'Enterprise PHP Development' has helped many web development teams to professionalize their processes. His upcoming book 'N Ways To Be a Better Developer' helps developers with best practices for their development careers. Ivo is the organizer of the Appdevcon conference and co-organiser of the Appril Festival, two events to take the Dutch app developer communities to the next level. Ivo is also the architect of Corona Melder. The official corona tracing app for the Netherlands."
Joris Hoffman,CPO,"Joris has almost two decades of experience in digital product design and development and was responsible for a series of leading digital platforms used by millions of people every day. Such as Talpa Radio, Talpa TV, Discovery Networks UK, RTÉ Ireland, Viacom US, booking.com and Pathé-Thuis. Joris was and is head of Product, Design, UX and Development of several successful high-performance websites. He has hands-on experience with all stages of the user-oriented design process. Joris has a huge track record in building groups of designers and developers who work effectively and communicate with project managers and business stakeholders. Joris is co-founder of +Drie; Strategic design and innovation partner."
Mark van der Poel,Lead design and UX,Mark has 15 years of experience in the digital landscape. Mark is an expert in setting up efficient design systems. He has excellent skills for a seamless transfer from design to development. Mark is also a great tutor for other designers. Mark is co-founder of +Drie; Strategic design and innovation partner.
Dave Valk,Design and UX,Dave has 15 years of experience in creating digital products. Dave founded digital agency Supersteil and led it for 8 years before selling it to DEPT. Dave has led DEPT's design team. Dave is an expert in leading creative teams and solving complex digital problems. Dave is co-founder of +Drie; Strategic design and innovation partner.
Elgin Jeleel,Founder
Emmal Khan,Founder & CEO,"-> Entrepreneur and tech savvy leader in taxi, customer experience and software development. -> 13 years experience in ride hailing business"
Rohan Vaidya,Co-founder & CTO,"-> Entrepreneur, Sr Software engineer, developer -> IT - Architecture & vision, Cloud management , Blockchain -> Leader of 50 developers -> 13years relevant experience"
Emmanuel de Bakker,Co-founder & COO,"-> Entrepreneur, Business development -> Management & leadership -> 14y relevant business experience"
Ted Oorbals,Co Founder / General Director,"Originally from The Netherlands, Ted Oorbals (1968) is a creative strategist with a strong commercial and marketing background focused on innovation. He has been an entrepreneur and business builder for 30 years, and started and turnaround various companies in sectors ranging from electronics and healthcare to virtual reality and cybersecurity. His focus has always been on using a combination of innovative and distinctive technology with a disruptive marketing and sales approach. Ted Oorbals’ last position regarding cybersecurity and digital identities was as the CEO of the identity platform Biocryptology (Madrid, Spain), that he successfully launched in 2018. After many years working in the identity industry, in his current position of General Director of YourID, he is considered a highly knowledgeable evangelist for the creation of a new, disruptive, global industry standard in the identity space."
Richard Citteur / General Secretary,Co Founder / General Secretary,"Richard Citteur (1971), originally from The Netherlands, supports YourID in all aspects, with a focus on organizational development and initiating partnerships. Richard is an entrepreneurial-minded professional with a great eye for detail and he has excellent writing skills in Dutch, English and Spanish. He coordinates general operations and client relations, and oversees all communications and agreements with a wide variety of (potential) partners. In addition, he is the sparring partner for Ted Oorbals regarding strategic matters and he performs a variety of (market) research activities. Richard has a degree in Business Administration (Erasmus University Rotterdam, The Netherlands) with a specialization in Strategic Management. Together with Julio Cesar Pea and Ted Oorbals, Richard co-developed the Biocryptology platform, where he was involved from May 2016 – Dec. 2018."
Alberto Cejudo,Co Founder / Financial Advisor,"Originally from Spain, Alberto Cejudo (1964) is a creative financial engineer with a strong wealth management and wealth structure background, focused on family businesses and asset protection. He is graduated in Economics and has a Master in Economics and Financial Management. Alberto is specialized in Financial Engineering and Derivatives and International Tax Planning. Furthermore, he is skilled in Financial Markets, Wealth Accumulation and Protection strategies, Machine Learning, Quant & Algorithmic trading, STO and Crypto assets.   He has worked around the world for several top-tier wealth management companies, among others BNP Paribas, Bank of America-Merrill Lynch, Bank Privèe Edmond de Rothschild, KBL European Private Bankers and Banque SYZ. Alberto has an entrepreneurial mindset, that enables him to develop new businesses in challenging environments. Besides providing financial advise, at YourID Alberto also guides the Foundation’s governance model and helps find the right contacts and local support, thereby creating the fundament for YourID’s Industry Initiative."
Julio Cesar Pea,Co Founder / Technology Architect,"A native of Venezuela, Julio César Pea (1981) is a technology driver with a global mind-set and a strong development vision. He has vast expertise in many aspects of top-end technology. Julio graduated in Electronic Science and Engineering (specialty in bio-medicine & bioelectronics) at the Simón Bolívar University in Venezuela. He has extensive experience in leading projects and teams and on foreign markets, product design, China manufacturing, chains of supplies and mass production. He started in a multinational company as QA tester and later achieved a leading position in hardware development in the Taiwan main factory. He obtained a Master’s Degree in Robotics and Automatization, and started his own company in hardware and software development. Julio’s focus has always been on creating the most disruptive product in combination with the best user experience, the highest quality and ultimate scalability. Julio was at the basis of the creation of Biocryptology when he started working on its technology in 2013. He left Biocryptology as CTO in December 2018, together with Ted Oorbals and Richard Citteur, with who he initiated YourID in January 2019."
Gagan Reddy,Founder - CEO,"Climate data and nature based solutions scientist, with a background in software product development."
Kars Vreeswijk,Sales director,"Background in maritime engineering sector, and transitioned into technology and account management roles in the human resources and ag-tech."
Caroline Cadwell,Co-founder & CEO
Tim Smits,Co-founder & CPO,"Tim has a BSc. and MSc. in Industrial Design Engineering from the Delft University of Technology. Within Unpluq, he is responsible for marketing, UI/UX design, app retention, branding and finance. Tim suffered a lot from smartphone distraction during his studies and is determined to help people in spending their time in a more meaningful way. He meditates and does yoga, so he knows the benefits of a balanced (digital) life."
Jorn Rigter,Co-founder & CTO,"Jorn has three years of working experience in software development, developing apps and Windows applications. He has a background in Computer Science and Industrial Design Engineering at the Delft University of Technology. Within Unpluq, he is responsible for the software development, financing rounds and legal. Jorn suffered a lot from smartphone distraction during his studies. He meditates an hour per day, and is therefore very aware of the effects of social media on our wellbeing and productivity, from first-hand experience."
Julian Jagtenberg,Advisor Marketing & Sales,"Julian is the founder and CEO of Somnox, the world's first sleep robot. Somnox has a team of 40+ people and they are selling their products internationally."
Venkatesh Chandrasekar,Advisor Business Development,"Venkatesh was the co-founder of Inkless, with a successful exit in 2019. He now works as Product Manager at Bird Control Group, a scale-up from Delft."
Rene Tensen,Advisor Subscription Model,"Rene has extensive experience in SaaS, marketing and sales at multiple telecommunication companies."
Pieter Verhaegh,Founder
Tamara Orjola,Founder,"At this moment our team consists of one founder, but we are actively looking to expand our team and bring a knowledgeable Co-founder on board. Tamara Orjola is a material designer and founder of Forest Wool. Graduated from Design Academy Eindhoven with the project Forest Wool. With which she has won multiple awards: - ASN Bank, Wereldprijs 2020, 3rd price - Brain Awards - Best of Dutch Design Week - Green Product Award Selection of 2020 - Melkweg and Rene Smeets Awards nominee Gained experience working as a designer for multiple companies and clients: - Studioilse, UK - Studio Stefan Scholten (Scholten & Baijings), NL - Circular Matter, BE - Walden Studio, NL Tamara’s passion, deep knowledge, and expertise on this subject will lay a fundamental base for business creation and will help our business to evolve in the future."
Per Roseth,Founder - Commercial lead,"Bringing his experience in innovation delivery (ideation to implementation) in the airline industry with a focus on sustainability he is the visionary and primary driver of the GloUV concept. Utilizing his experience in sustainability, technology, product development, hospitality, storytelling and immersive experiences he aims to make a noticeable impact on the Covid-19 crisis."
Alex Jurtan,"Founder - Design, industrialization lead","Alex can bring any idea to life and is the design force behind the in-house product development team. With a background in product design and multimedia productions, he quickly translates product ideas into tangible products. He is running his own design and video product company and has launched on kickstarter"
Dana Rosu,Advisor - Ecommerce strategy,"Bringing her expertise in ecommerce strategy and marketing experience from FMCG industry, she is responsible for helping building our sales channels, pricing strategy, marketing planning for amazon and elsewhere"
Henrich Jurtan,Advisor - manufacturing setup and Quality Assurance,Heinrich Jurtan currently is the CEO of Electric machines out of Czech republic and has had a career-long background in ensuring complex production management.
Karl Walter,Partner - International Business Development,20+ years of work experience in travel retail (Dufry) he now works as a travel retail consultant advising established companies and startups on success in travel retail industry.
Thomas Henningsen,Partner - International Business Development,"10+ years of work experience in travel retail, he now works as a travel retail consultant advising established companies and startups on success in travel retail industry."
Peter Meester,Founder & Developer,"Started as a hobby and now more than 17 years active in developing websites and web applications. Over the years I have gained work experience at various full-service internet companies and worked on websites and web applications for small to large organizations. I am driven, ambitious, a go-getter and a perfectionist."
Dwight Vliese,Founder
Taco Hiddink,Co-Founder,"I apply Machine Learning and Deep Learning technology. Co-founder of brainial.com and focused on building intelligent software that analyses tender data to automatically identify requirements, risks & provide answer suggestions. Working on Document AI."
Fedor Klinkenberg,Co-Founder,Co-founder at Brainial.com 🚀 | Smart Tender Analysis platform to reduce time & money spent when responding to tenders.
Bob Maks,Head of Product
Jordi Bekker,Business Developer & Food Specialist,"Jordi was educated and trained in biology, nutrition and health (both human health and animal health). He is specialised in fysiological processes and the absorption processes of food particles. He is also responsible for our blog."
Maurits Bruin,Business developer,"Maurits was educated and trained in technical business engineering and innovation, management and life sciences. He is specialised in business, innovation, product development, logistics, production and management."
Floor Sluijter,"Marketing, Research & Development","Floor was educated and trained in management, economics and consumer sciences in which she specialised in consumer sciences. She is responsible for marketing processes and setting up market campaigns."
Bachrum Lubis,Finance & Food Specialist,Bachrum was trained in financial management and food technology and innovation. He has experience as a banker and is also responsible for the financial policy of Major21
Roger Rosweide,CEO,"Growth Hacker / Content Maker. 12 years experience in creative technologies. From founding the world's first 3D-printing popsicle factory, to launching the world's first VR cinema franchise internationally, Roger has always been at the forefront of creative innovations in technology and marketing."
Wijnand van Leeuwen,CTO,"Wijnand is a full-stack developer and sys-admin, as well as a seasoned tech entrepreneur. In the past, Wijnand has built apps and platforms for corporations such as Kwantum and fysiotherapie4all. Recently, Wijnand was a founder partner and CTO of a voice transcribing app that now has clients such as UWV (Dutch Governemental Unemployment Agency) and Philips."
Jelle Mieldijk,CEO,"Responsible for managing operational processes in both short and long-term. Responsible for strategic platform development and aligning theory with practical demand from the market. Holds bachelor degree in Business Administration from the Hogeschool of Amsterdam (HvA). Previously completed MBO level 3 and 4 in logistics team leader and warehouse manager. Previously worked in Logistics at Rhenus Logistics as consolidation operator airfreight and Quicargo as operations associate and currently holds the position of material planner European logistics centre for Yokogawa, a Japanese multinational company"
