date,location_key,inc_case,inc_hosp,inc_death,sni_covid19_vaccination,liberalism,children,adult,elderly,new_persons_vaccinated,stringency_index,stringency_category,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,population,PC1,PC2,PC3
2021-03,Utah,13405.0,-0.4474237971786121,-0.4562921615150583,1.5884114942733594,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,0.2391958266495487,-0.0903759321092739,1,0.2239595809491439,-0.276506941553211,0.0461443896124875,-0.4116325539304201,0.2249685983040731,0.1671036399230034,3.0720708254338938,-0.18120641090842193,-0.07880956615945518,0.4324241070013347
2021-04,Utah,10983.0,-0.4638073879439588,-0.5263392521039085,0.6554482778214118,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,0.2719336123263989,-0.3517056693581546,1,0.4679081090987612,-0.0391956412023891,0.504980516066654,-0.1719283619409856,-0.0431407073479527,-0.2763751044087533,3.0720708254338938,0.4494823609250352,0.2965433704984128,0.37532015937602115
2021-05,Utah,10707.0,-0.455711966624611,-0.4947050821605568,-0.2045923868561498,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.1867069354702099,-0.1350066729199893,1,0.9113243562395446,0.780288576749959,1.1029981880997155,0.0844361799781309,0.0038112338635785,-0.8189915118029096,3.0720708254338938,1.6160985303382611,0.6531981165220229,0.494299455031818
2021-06,Utah,7818.0,-0.4343169245663348,-0.5451691151654273,-0.626332121760107,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.303782472333498,-0.2716792659672087,1,1.1809536051164533,0.7267511065881949,1.346241397723847,0.3818654026142115,-1.186920482461847,-0.873628229564946,3.0720708254338938,1.6691267498436972,1.645530171328904,-0.12252924695294334
2021-07,Utah,18800.0,-0.3872863816634573,-0.5135349452220757,-0.2324267656451056,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.3242258049152464,-0.2716792659672087,1,1.2302145934875763,0.4063741791568261,1.221567086701156,0.4402791789276059,-1.3776705063244497,-0.642574025813308,3.0720708254338938,1.3753060931738668,1.6937967169169157,-0.31868228808803883
2021-08,Utah,27414.0,-0.315198582295932,-0.4562921615150583,0.570218854537181,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.2824098973616701,-0.5504114201283524,1,0.9752861476397396,0.0779038109102471,0.8297432429251951,0.1001000597991357,-0.7057361222947292,-0.7265752484788335,3.0720708254338938,1.0207008436288763,0.9159003107190803,0.0796652394111418
2021-09,Utah,40839.0,-0.2473512417147317,-0.4005557668529625,-0.1399951989742727,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.3654384252582091,-0.7699738121374583,1,0.8078625517384589,-0.0754687782549366,0.968718270089986,0.1938029579357394,-0.0083773278640783,-0.833181313414084,3.0720708254338938,1.182471635498823,0.3262905282625593,0.3696586073947852
2021-10,Utah,49206.0,-0.233858872849152,-0.3305086762641124,-0.2564579049162675,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.3948320188451803,-0.7699738121374583,1,0.5362934570061689,-0.5065717599271153,0.1980626233716706,0.0222707638143756,0.4528009765934301,-0.5817622902482219,3.0720708254338938,0.49177391438046913,-0.45345651114117713,0.3481342430180603
2021-11,Utah,42260.0,-0.2618073512135669,-0.3757003476117577,0.1124210618909977,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.362796567532925,-0.5793050701764575,1,0.2873969765907226,-0.5667505793942497,-0.319680520659872,-0.3066130554598075,0.0250274765708385,-0.0319960216488987,3.0720708254338938,-0.3394241016287775,-0.2231647338196652,0.14267020607394149
2021-12,Utah,31595.0,-0.3367863724808593,-0.3847386818812867,-0.2886723904232991,0.0,-0.3197136361403166,-0.4593597175595896,-0.6111655056782795,-0.3195831946795393,-0.6552255998778516,1,0.365015994834238,-0.2944313332154805,-0.6350703453668682,-0.172193466031359,-0.9426579724217284,0.5657465179578803,3.0720708254338938,-0.7561538521046016,0.5742361439942502,-0.578995341429417
